,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Ветеран війни,81.9078947368421,4.392930894187984,8.917541039092896,0.026,True,0.668,0.046052631578947366,False,0.4964,0.80859315,False
1,Військовий пенсіонер,73.83177570093457,4.392930894187984,8.917541039092896,0.106,False,0.889,0.04984423676012461,False,0.2994,0.8083932,False
2,Резервіст,75.25083612040135,4.392930894187984,8.917541039092896,0.3952,False,0.4796,0.043478260869565216,False,0.3438,0.8095945,False
3,Учасник бойових дій,81.9078947368421,4.392930894187984,8.917541039092896,0.0238,True,0.032,0.07894736842105263,True,0.38,0.8084645,False
4,Цивільний,72.9903536977492,4.392930894187984,8.917541039092896,0.0598,False,0.5698,0.04501607717041801,False,0.092,0.81002474,False
