,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Ветеран війни,93.77777777777779,4.431648245612404,8.666666666666657,0.0106,True,0.1332,0.02,False,0.0104,0.7970518,True
1,Військовий пенсіонер,85.55555555555556,4.431648245612404,8.666666666666657,0.0,True,0.0006,0.057777777777777775,True,0.0,0.79609793,True
2,Резервіст,94.22222222222221,4.431648245612404,8.666666666666657,0.0024,True,0.0164,0.013333333333333334,True,0.0498,0.8001425,True
3,Учасник бойових дій,86.0,4.431648245612404,8.666666666666657,0.0002,True,0.0046,0.05333333333333334,True,0.2072,0.7996562,False
4,Цивільний,93.55555555555556,4.431648245612404,8.666666666666657,0.015,True,0.0282,0.015555555555555555,True,0.0008,0.8010751,True
