,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Інтерсекс,72.98245614035088,3.5038041240449465,11.022727272727266,0.8452,False,0.2378,0.07368421052631578,False,0.4028,0.80842125,False
1,Агендер,66.25,3.5038041240449465,11.022727272727266,0.0098,True,0.0676,0.08125,False,0.0228,0.8075514,True
2,Андрогінний,76.23456790123457,3.5038041240449465,11.022727272727266,0.123,False,0.2672,0.043209876543209874,False,0.8456,0.8088747,False
3,Бігендер,71.656050955414,3.5038041240449465,11.022727272727266,0.8112,False,0.2124,0.041401273885350316,False,0.692,0.8092642,False
4,Гендерквір,75.47770700636943,3.5038041240449465,11.022727272727266,0.2204,False,0.3174,0.044585987261146494,False,0.7308,0.80876076,False
5,Гендерне невідповідність,73.10344827586206,3.5038041240449465,11.022727272727266,0.824,False,0.5322,0.04827586206896552,False,0.3156,0.8096864,False
6,Гендерфлюїд,74.74747474747475,3.5038041240449465,11.022727272727266,0.3794,False,0.4492,0.04713804713804714,False,0.6196,0.8086499,False
7,Дводушний (Твоуспірит),68.43853820598007,3.5038041240449465,11.022727272727266,0.1298,False,0.7966,0.053156146179401995,False,0.391,0.80842084,False
8,Демігендер,76.65505226480836,3.5038041240449465,11.022727272727266,0.108,False,0.3004,0.041811846689895474,False,0.5408,0.8094286,False
9,Демідівчина,69.10828025477707,3.5038041240449465,11.022727272727266,0.193,False,0.4632,0.04777070063694268,False,0.2802,0.8097164,False
10,Деміхлопчик,67.11864406779661,3.5038041240449465,11.022727272727266,0.0372,True,0.7924,0.061016949152542375,False,0.9998,0.8089989,False
11,Жінка,71.7687074829932,3.5038041240449465,11.022727272727266,0.8468,False,1.0,0.05782312925170068,False,0.8612,0.80887425,False
12,Квір,74.48979591836735,3.5038041240449465,11.022727272727266,0.4246,False,0.197,0.07482993197278912,False,0.8782,0.80909336,False
13,Небінарний,77.03180212014135,3.5038041240449465,11.022727272727266,0.0788,False,0.705,0.0636042402826855,False,0.0126,0.81069636,True
14,Неутроїс,66.45569620253164,3.5038041240449465,11.022727272727266,0.0174,True,0.4704,0.04746835443037975,False,0.7748,0.80918294,False
15,Пангендер,72.0,3.5038041240449465,11.022727272727266,0.8936,False,0.8026,0.05333333333333334,False,0.2118,0.80816954,False
16,Трансгендер,77.27272727272727,3.5038041240449465,11.022727272727266,0.0676,False,0.0006,0.10139860139860139,True,0.31,0.809691,False
17,Третя стать,72.28070175438597,3.5038041240449465,11.022727272727266,1.0,False,0.2858,0.042105263157894736,False,0.6386,0.80868095,False
18,Цісгендер,74.83870967741936,3.5038041240449465,11.022727272727266,0.3646,False,0.5254,0.04838709677419355,False,0.8046,0.8091633,False
19,Чоловік,71.66666666666667,3.5038041240449465,11.022727272727266,0.8032,False,0.0988,0.08,False,0.7946,0.8088223,False
