,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Вдовець/Вдова,92.66666666666666,0.921619615703458,2.444444444444457,0.272,False,0.2636,0.013333333333333334,False,0.9784,0.8016392,False
1,Неодружений/Неодружена,95.11111111111111,0.921619615703458,2.444444444444457,0.2188,False,0.5762,0.011111111111111112,False,0.3876,0.8010782,False
2,Одружений/Одружена,93.33333333333333,0.921619615703458,2.444444444444457,0.661,False,0.7762,0.006666666666666667,False,0.4224,0.8021967,False
3,Розлучений/Розлучена,94.22222222222221,0.921619615703458,2.444444444444457,0.7368,False,0.1484,0.0022222222222222222,False,0.8704,0.8015462,False
4,Цивільний шлюб,93.77777777777779,0.921619615703458,2.444444444444457,1.0,False,0.5672,0.011111111111111112,False,0.796,0.8018231,False
