,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Ветеран війни,86.82352941176471,5.114705919347902,12.178979648731541,0.0004,True,0.1686,0.07294117647058823,False,0.0014,0.8154989,True
1,Військовий пенсіонер,79.09738717339667,5.114705919347902,12.178979648731541,0.24,False,0.245,0.04513064133016627,False,0.4132,0.8141175,False
2,Резервіст,79.37649880095923,5.114705919347902,12.178979648731541,0.3202,False,0.0044,0.02877697841726619,True,0.0002,0.8116776,True
3,Учасник бойових дій,85.92233009708737,5.114705919347902,12.178979648731541,0.005,True,0.0362,0.08009708737864078,True,0.5142,0.814029,False
4,Цивільний,74.64454976303317,5.114705919347902,12.178979648731541,0.0,True,0.7266,0.061611374407582936,False,0.2026,0.81296784,False
