,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Вдовець/Вдова,74.28571428571429,2.50725321456831,5.931999035447305,0.359,False,0.7266,0.04285714285714286,False,0.9838,0.8109248,False
1,Неодружений/Неодружена,77.89855072463769,2.50725321456831,5.931999035447305,0.575,False,0.2262,0.050724637681159424,False,0.5508,0.8105562,False
2,Одружений/Одружена,74.13793103448276,2.50725321456831,5.931999035447305,0.272,False,0.6078,0.04482758620689655,False,0.4368,0.8114412,False
3,Розлучений/Розлучена,80.06993006993007,2.50725321456831,5.931999035447305,0.1356,False,0.1204,0.02097902097902098,False,0.383,0.8103835,False
4,Цивільний шлюб,76.6323024054983,2.50725321456831,5.931999035447305,1.0,False,0.494,0.030927835051546393,False,0.5088,0.81135964,False
