,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Вдовець/Вдова,75.60386473429952,1.4496905028932328,3.543054696980093,0.2098,False,0.0734,0.057971014492753624,False,0.0386,0.8119856,True
1,Неодружений/Неодружена,77.72397094430993,1.4496905028932328,3.543054696980093,0.8908,False,0.4154,0.03389830508474576,False,0.9218,0.8131536,False
2,Одружений/Одружена,78.22966507177034,1.4496905028932328,3.543054696980093,0.905,False,0.7838,0.03827751196172249,False,0.3442,0.81260616,False
3,Розлучений/Розлучена,79.14691943127961,1.4496905028932328,3.543054696980093,0.5496,False,0.7892,0.045023696682464455,False,0.1968,0.813777,False
4,Цивільний шлюб,79.10798122065728,1.4496905028932328,3.543054696980093,0.561,False,0.3514,0.03286384976525822,False,0.0972,0.8139816,False
