,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,50.44444444444445,17.077456080249178,44.22222222222223,0.0,True,0.6906,0.13777777777777778,False,0.0114,0.7831001,True
1,Military retiree,36.666666666666664,17.077456080249178,44.22222222222223,0.3072,False,0.0,0.057777777777777775,True,0.005,0.7832658,True
2,Participant in combat actions,6.222222222222222,17.077456080249178,44.22222222222223,0.0,True,0.0,0.3088888888888889,True,0.0,0.7795056,True
3,Reservist,34.88888888888889,17.077456080249178,44.22222222222223,0.9124,False,0.0,0.044444444444444446,True,0.601,0.78208536,False
4,War veteran,44.888888888888886,17.077456080249178,44.22222222222223,0.0,True,0.118,0.10888888888888888,False,0.1856,0.7811496,False
