,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,80.13392857142857,2.8621642843442943,7.253458815958808,0.0166,True,0.0172,0.0625,True,0.1236,0.7868646,False
1,Military retiree,83.66890380313198,2.8621642843442943,7.253458815958808,0.9418,False,0.2408,0.03131991051454139,False,0.3406,0.7883936,False
2,Participant in combat actions,87.38738738738738,2.8621642843442943,7.253458815958808,0.0274,True,0.5946,0.0472972972972973,False,0.43,0.78733456,False
3,Reservist,82.28699551569507,2.8621642843442943,7.253458815958808,0.3366,False,0.5274,0.03587443946188341,False,0.781,0.787997,False
4,War veteran,85.84269662921349,2.8621642843442943,7.253458815958808,0.2224,False,0.2354,0.03146067415730337,False,0.2686,0.78851146,False
