,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,69.33333333333334,1.2432533982843792,2.8888888888888715,0.5496,False,0.195,0.03777777777777778,False,0.6046,0.78534466,False
1,Military retiree,69.77777777777779,1.2432533982843792,2.8888888888888715,0.6856,False,0.2708,0.02,False,0.7082,0.7859062,False
2,Participant in combat actions,71.55555555555554,1.2432533982843792,2.8888888888888715,0.6568,False,1.0,0.028888888888888888,False,0.616,0.7853666,False
3,Reservist,70.0,1.2432533982843792,2.8888888888888715,0.769,False,0.433,0.022222222222222223,False,0.701,0.78592366,False
4,War veteran,72.22222222222221,1.2432533982843792,2.8888888888888715,0.414,False,0.7486,0.03111111111111111,False,0.781,0.78585094,False
