,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,65.11111111111111,21.674585447500206,58.66666666666667,0.0,True,0.0,0.2222222222222222,True,0.0,0.7852983,True
1,Military retiree,36.888888888888886,21.674585447500206,58.66666666666667,0.1112,False,0.0,0.06,True,0.0006,0.78222764,True
2,Participant in combat actions,6.444444444444445,21.674585447500206,58.66666666666667,0.0,True,0.0,0.36444444444444446,True,0.0,0.77030784,True
3,Reservist,50.44444444444445,21.674585447500206,58.66666666666667,0.0,True,0.0,0.07555555555555556,True,0.0,0.7831387,True
4,War veteran,42.0,21.674585447500206,58.66666666666667,0.3938,False,0.0,0.044444444444444446,True,0.0142,0.7817494,True
