,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Agender,58.730158730158735,3.3640938006144356,15.019539284245177,0.5094,False,0.456,0.17233560090702948,False,0.8014,0.79461884,False
1,Androgynous,57.49999999999999,3.3640938006144356,15.019539284245177,0.2278,False,0.2382,0.17954545454545454,False,0.0854,0.7954863,False
2,Bigender,57.36961451247166,3.3640938006144356,15.019539284245177,0.2132,False,0.2866,0.14058956916099774,False,0.4624,0.79490906,False
3,Cisgender,54.831460674157306,3.3640938006144356,15.019539284245177,0.0194,True,0.594,0.16853932584269662,False,0.4582,0.79490966,False
4,Demiboy,61.03603603603604,3.3640938006144356,15.019539284245177,0.7682,False,1.0,0.15990990990990991,False,0.9542,0.7944325,False
5,Demigender,59.90888382687927,3.3640938006144356,15.019539284245177,0.8814,False,0.6958,0.1662870159453303,False,0.2336,0.79517144,False
6,Demigirl,62.66968325791855,3.3640938006144356,15.019539284245177,0.317,False,1.0,0.1583710407239819,False,0.917,0.79452777,False
7,Female,57.078651685393254,3.3640938006144356,15.019539284245177,0.1754,False,0.0168,0.2,True,0.1402,0.79534495,False
8,Gender Nonconforming,63.20541760722348,3.3640938006144356,15.019539284245177,0.216,False,0.5132,0.14672686230248308,False,0.0012,0.7926334,True
9,Genderfluid,61.39954853273137,3.3640938006144356,15.019539284245177,0.6486,False,0.84,0.16252821670428894,False,0.9456,0.7945115,False
10,Genderqueer,63.57466063348416,3.3640938006144356,15.019539284245177,0.1632,False,0.0816,0.12895927601809956,False,0.3278,0.79387647,False
11,Intersex,62.10762331838565,3.3640938006144356,15.019539284245177,0.4402,False,0.7366,0.15246636771300448,False,0.6292,0.79417205,False
12,Male,54.29864253393665,3.3640938006144356,15.019539284245177,0.0078,True,0.8456,0.16289592760180996,False,0.0332,0.795741,True
13,Neutrois,59.28411633109619,3.3640938006144356,15.019539284245177,0.6528,False,0.2908,0.14093959731543623,False,0.1374,0.7935988,False
14,Non-Binary,60.770975056689345,3.3640938006144356,15.019539284245177,0.848,False,0.2772,0.14058956916099774,False,0.5808,0.7947985,False
15,Pangender,60.68181818181818,3.3640938006144356,15.019539284245177,0.8808,False,1.0,0.1590909090909091,False,0.1808,0.7952699,False
16,Queer,58.86363636363636,3.3640938006144356,15.019539284245177,0.5496,False,0.0714,0.12727272727272726,False,0.302,0.79384446,False
17,Third Gender,62.24256292906178,3.3640938006144356,15.019539284245177,0.4254,False,0.4438,0.17162471395881007,False,0.4198,0.7939845,False
18,Transgender,61.451247165532884,3.3640938006144356,15.019539284245177,0.6212,False,0.8868,0.1564625850340136,False,0.2152,0.7937254,False
19,Two-Spirit,69.31818181818183,3.3640938006144356,15.019539284245177,0.0,True,0.1762,0.18181818181818182,False,0.287,0.79383296,False
