,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,47.767857142857146,2.0410010382468937,4.793390073178486,0.2252,False,0.4994,0.06473214285714286,False,0.5628,0.79217285,False
1,Military retiree,52.359550561797754,2.0410010382468937,4.793390073178486,0.3672,False,0.3018,0.04719101123595506,False,0.68,0.7917008,False
2,Participant in combat actions,50.11185682326622,2.0410010382468937,4.793390073178486,0.9116,False,0.2516,0.06935123042505593,False,0.2822,0.7924103,False
3,Reservist,49.330357142857146,2.0410010382468937,4.793390073178486,0.6302,False,0.5646,0.05133928571428571,False,0.2378,0.79132545,False
4,War veteran,52.56124721603563,2.0410010382468937,4.793390073178486,0.313,False,0.9096,0.0556792873051225,False,0.971,0.79188085,False
