,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,59.910913140311806,2.5246832195543214,6.444444444444443,0.63,False,0.4734,0.16703786191536749,False,0.8932,0.79343027,False
1,Military retiree,61.77777777777778,2.5246832195543214,6.444444444444443,0.7086,False,0.2514,0.13777777777777778,False,0.0584,0.7944178,False
2,Participant in combat actions,58.44444444444444,2.5246832195543214,6.444444444444443,0.2386,False,0.215,0.17555555555555555,False,0.4766,0.79294693,False
3,Reservist,59.55555555555555,2.5246832195543214,6.444444444444443,0.524,False,0.7692,0.1511111111111111,False,0.7418,0.7935455,False
4,War veteran,64.88888888888889,2.5246832195543214,6.444444444444443,0.0624,False,0.5684,0.14666666666666667,False,0.106,0.7924312,False
