,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,66.0,8.097248427630552,20.22222222222223,0.0016,True,0.1996,0.10222222222222223,False,0.4318,0.7838139,False
1,Military retiree,60.22222222222222,8.097248427630552,20.22222222222223,0.915,False,0.2642,0.10444444444444445,False,0.5916,0.7837046,False
2,Participant in combat actions,48.888888888888886,8.097248427630552,20.22222222222223,0.0,True,0.0054,0.15777777777777777,True,0.0532,0.7825842,False
3,Reservist,55.55555555555556,8.097248427630552,20.22222222222223,0.035,True,0.7386,0.11555555555555555,False,0.851,0.78337824,False
4,War veteran,69.11111111111111,8.097248427630552,20.22222222222223,0.0,True,0.8112,0.12444444444444444,False,0.3984,0.78383285,False
