,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,68.88888888888889,22.156012477178486,53.33333333333333,0.0,True,0.2088,0.19333333333333333,False,0.0002,0.7817319,True
1,Military retiree,28.888888888888886,22.156012477178486,53.33333333333333,0.0,True,0.0354,0.20666666666666667,True,0.5642,0.78033483,False
2,Participant in combat actions,15.555555555555555,22.156012477178486,53.33333333333333,0.0,True,0.0,0.34,True,0.0,0.7754599,True
3,Reservist,50.888888888888886,22.156012477178486,53.33333333333333,0.0046,True,0.0,0.017777777777777778,True,0.002,0.781496,True
4,War veteran,60.22222222222222,22.156012477178486,53.33333333333333,0.0,True,0.0,0.10666666666666667,True,0.0106,0.7812907,True
