,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Вдовець/Вдова,52.63157894736842,9.461248967574516,21.551427588579294,0.0,True,0.0246,0.1118421052631579,True,0.9224,0.8091105,False
1,Неодружений/Неодружена,73.95833333333334,9.461248967574516,21.551427588579294,0.0058,True,0.82,0.08333333333333333,False,0.9946,0.8091764,False
2,Одружений/Одружена,72.12543554006969,9.461248967574516,21.551427588579294,0.0364,True,1.0,0.08013937282229965,False,0.1614,0.8100453,False
3,Розлучений/Розлучена,61.967213114754095,9.461248967574516,21.551427588579294,0.045,True,0.0132,0.04590163934426229,True,0.8678,0.80907404,False
4,Цивільний шлюб,74.18300653594771,9.461248967574516,21.551427588579294,0.0022,True,0.8142,0.07516339869281045,False,0.2514,0.8085125,False
