,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Вдовець/Вдова,83.65384615384616,1.3373225903914423,2.8987210833176533,0.2512,False,0.0612,0.1466346153846154,False,0.3216,0.8095156,False
1,Неодружений/Неодружена,86.40776699029125,1.3373225903914423,2.8987210833176533,0.5792,False,0.4444,0.13106796116504854,False,0.4126,0.80939764,False
2,Одружений/Одружена,84.41247002398082,1.3373225903914423,2.8987210833176533,0.53,False,1.0,0.11990407673860912,False,0.0174,0.80730706,True
3,Розлучений/Розлучена,86.55256723716381,1.3373225903914423,2.8987210833176533,0.5446,False,0.144,0.097799511002445,False,0.5902,0.8085097,False
4,Цивільний шлюб,86.29807692307693,1.3373225903914423,2.8987210833176533,0.6376,False,0.2098,0.10096153846153846,False,0.279,0.8095699,False
