,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Ветеран війни,64.72602739726028,13.836901832034815,32.373086220789695,0.002,True,0.0274,0.07876712328767123,True,0.1686,0.8098772,False
1,Військовий пенсіонер,56.91823899371069,13.836901832034815,32.373086220789695,0.7902,False,0.005,0.07232704402515723,True,0.621,0.8087138,False
2,Резервіст,64.0677966101695,13.836901832034815,32.373086220789695,0.002,True,0.082,0.08813559322033898,False,0.996,0.8090152,False
3,Учасник бойових дій,32.35294117647059,13.836901832034815,32.373086220789695,0.0,True,0.0,0.22875816993464052,True,0.0234,0.8075699,True
4,Цивільний,64.09395973154362,13.836901832034815,32.373086220789695,0.002,True,1.0,0.1174496644295302,False,0.1272,0.80996305,False
