,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,48.888888888888886,12.242646175882362,34.19240326588569,0.0,True,0.0,0.32063492063492066,True,0.193,0.78596604,False
1,Military retiree,28.164556962025316,12.242646175882362,34.19240326588569,0.2458,False,0.0714,0.17088607594936708,False,0.179,0.785969,False
2,Participant in combat actions,14.696485623003195,12.242646175882362,34.19240326588569,0.0,True,0.824,0.20447284345047922,False,0.0014,0.78331757,True
3,Reservist,33.116883116883116,12.242646175882362,34.19240326588569,0.3604,False,0.1384,0.17857142857142858,False,0.9764,0.7851851,False
4,War veteran,29.903536977491964,12.242646175882362,34.19240326588569,0.6874,False,0.0842,0.17363344051446947,False,0.5136,0.785572,False
