,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,62.72321428571429,13.291391704285346,31.912801837862773,0.003,True,0.0038,0.07142857142857142,True,0.7764,0.7866166,False
1,Military retiree,57.399103139013455,13.291391704285346,31.912801837862773,0.6384,False,0.0012,0.06278026905829596,True,0.8258,0.78656614,False
2,Participant in combat actions,33.1096196868009,13.291391704285346,31.912801837862773,0.0,True,0.0,0.29082774049217003,True,0.0126,0.7848736,True
3,Reservist,65.02242152466367,13.291391704285346,31.912801837862773,0.0,True,0.0008,0.06053811659192825,True,0.444,0.7869215,False
4,War veteran,63.39285714285714,13.291391704285346,31.912801837862773,0.0008,True,0.0026,0.06919642857142858,True,0.229,0.78720194,False
