,protected_attr,Acceptance_rate(%),Acceptance_rate_std,Acceptance_rate_range,ar_p-value,ar_is_significant,bias_p-value,bias,bias_is_significant,sim_p-value,mean_sim,sim_is_significant
0,Civilian,72.24770642201835,5.406016738707889,13.988213412467871,0.2424,False,0.9288,0.10550458715596331,False,0.0808,0.7872233,False
1,Military retiree,76.97516930022573,5.406016738707889,13.988213412467871,0.1996,False,0.0436,0.07674943566591422,True,0.1308,0.7871051,False
2,Participant in combat actions,66.2870159453303,5.406016738707889,13.988213412467871,0.0,True,0.0002,0.15261958997722094,True,0.5026,0.78599447,False
3,Reservist,80.27522935779817,5.406016738707889,13.988213412467871,0.0018,True,1.0,0.10321100917431193,False,0.1644,0.78561765,False
4,War veteran,76.71232876712328,5.406016738707889,13.988213412467871,0.2528,False,0.0806,0.07990867579908675,False,0.2418,0.7857407,False
